[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:parser: <-- [254,26,97,28,0,24,0,163,131,110,153,186,210,17,209,113,80,180,174,15,232,231,27,130,0,32,0,174,0,0,44]
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:parser: --- parseNext [254,26,97,28,0,24,0,163,131,110,153,186,210,17,209,113,80,180,174,15,232,231,27,130,0,32,0,174,0,0,44]
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:parser: --> parsed 26 - 3 - 1 - 28 - [0,24,0,163,131,110,153,186,210,17,209,113,80,180,174,15,232,231,27,130,0,32,0,174,0,0] - 44
[2026-03-12 12:53:59] debug: 	zh:zstack:znp: <-- SRSP: SYS - osalNvReadExt - {"status":0,"len":24,"value":{"type":"Buffer","data":[0,163,131,110,153,186,210,17,209,113,80,180,174,15,232,231,27,130,0,32,0,174,0,0]}}
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2026-03-12 12:53:59] debug: 	zh:adapter:zstack:manager: determining znp startup strategy
[2026-03-12 12:53:59] debug: 	zh:zstack:znp: --> SREQ: SYS - osalNvLength - {"id":96}
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:writer: --> frame [254,2,33,19,96,0,80]
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:parser: <-- [254,2,97,19,1,0,113]
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:parser: --- parseNext [254,2,97,19,1,0,113]
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:parser: --> parsed 2 - 3 - 1 - 19 - [1,0] - 113
[2026-03-12 12:53:59] debug: 	zh:zstack:znp: <-- SRSP: SYS - osalNvLength - {"length":1}
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2026-03-12 12:53:59] debug: 	zh:zstack:znp: --> SREQ: SYS - osalNvReadExt - {"id":96,"offset":0}
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:writer: --> frame [254,4,33,28,96,0,0,0,89]
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:parser: <-- [254,3,97,28,0,1,85,42]
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:parser: --- parseNext [254,3,97,28,0,1,85,42]
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:parser: --> parsed 3 - 3 - 1 - 28 - [0,1,85] - 42
[2026-03-12 12:53:59] debug: 	zh:zstack:znp: <-- SRSP: SYS - osalNvReadExt - {"status":0,"len":1,"value":{"type":"Buffer","data":[85]}}
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2026-03-12 12:53:59] debug: 	zh:zstack:znp: --> SREQ: SYS - osalNvLength - {"id":33}
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:writer: --> frame [254,2,33,19,33,0,17]
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:parser: <-- [254,2,97,19,116,0,4]
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:parser: --- parseNext [254,2,97,19,116,0,4]
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:parser: --> parsed 2 - 3 - 1 - 19 - [116,0] - 4
[2026-03-12 12:53:59] debug: 	zh:zstack:znp: <-- SRSP: SYS - osalNvLength - {"length":116}
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2026-03-12 12:53:59] debug: 	zh:zstack:znp: --> SREQ: SYS - osalNvReadExt - {"id":33,"offset":0}
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:writer: --> frame [254,4,33,28,33,0,0,0,24]
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:parser: <-- [254,118,97,28,0,116,80,5,2,76,15,76,0,30,0,0,0,1,5,1,143,0,8,0,2,13,2,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,169,56,8,0,0,0,0,2,15,15,4,0,1,0,0,0,1,0,0,0,0,215,126,80,69,211,64,210,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,1,60,10,1,0,0,0,141,170,0,0,202]
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:parser: --- parseNext [254,118,97,28,0,116,80,5,2,76,15,76,0,30,0,0,0,1,5,1,143,0,8,0,2,13,2,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,169,56,8,0,0,0,0,2,15,15,4,0,1,0,0,0,1,0,0,0,0,215,126,80,69,211,64,210,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,1,60,10,1,0,0,0,141,170,0,0,202]
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:parser: --> parsed 118 - 3 - 1 - 28 - [0,116,80,5,2,76,15,76,0,30,0,0,0,1,5,1,143,0,8,0,2,13,2,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,169,56,8,0,0,0,0,2,15,15,4,0,1,0,0,0,1,0,0,0,0,215,126,80,69,211,64,210,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,1,60,10,1,0,0,0,141,170,0,0] - 202
[2026-03-12 12:53:59] debug: 	zh:zstack:znp: <-- SRSP: SYS - osalNvReadExt - {"status":0,"len":116,"value":{"type":"Buffer","data":[80,5,2,76,15,76,0,30,0,0,0,1,5,1,143,0,8,0,2,13,2,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,169,56,8,0,0,0,0,2,15,15,4,0,1,0,0,0,1,0,0,0,0,215,126,80,69,211,64,210,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,1,60,10,1,0,0,0,141,170,0,0]}}
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2026-03-12 12:53:59] debug: 	zh:zstack:znp: --> SREQ: SYS - osalNvLength - {"id":98}
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:writer: --> frame [254,2,33,19,98,0,82]
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:parser: <-- [254,2,97,19,16,0,96]
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:parser: --- parseNext [254,2,97,19,16,0,96]
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:parser: --> parsed 2 - 3 - 1 - 19 - [16,0] - 96
[2026-03-12 12:53:59] debug: 	zh:zstack:znp: <-- SRSP: SYS - osalNvLength - {"length":16}
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2026-03-12 12:53:59] debug: 	zh:zstack:znp: --> SREQ: SYS - osalNvReadExt - {"id":98,"offset":0}
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:writer: --> frame [254,4,33,28,98,0,0,0,91]
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:parser: <-- [254,18,97,28,0,16,163,131,110,153,186,210,17,209,113,80,180,174,15,232,231,27,32]
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:parser: --- parseNext [254,18,97,28,0,16,163,131,110,153,186,210,17,209,113,80,180,174,15,232,231,27,32]
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:parser: --> parsed 18 - 3 - 1 - 28 - [0,16,163,131,110,153,186,210,17,209,113,80,180,174,15,232,231,27] - 32
[2026-03-12 12:53:59] debug: 	zh:zstack:znp: <-- SRSP: SYS - osalNvReadExt - {"status":0,"len":16,"value":{"type":"Buffer","data":[163,131,110,153,186,210,17,209,113,80,180,174,15,232,231,27]}}
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2026-03-12 12:53:59] debug: 	zh:zstack:znp: --> SREQ: SYS - osalNvLength - {"id":58}
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:writer: --> frame [254,2,33,19,58,0,10]
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:parser: <-- [254,2,97,19,17,0,97]
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:parser: --- parseNext [254,2,97,19,17,0,97]
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:parser: --> parsed 2 - 3 - 1 - 19 - [17,0] - 97
[2026-03-12 12:53:59] debug: 	zh:zstack:znp: <-- SRSP: SYS - osalNvLength - {"length":17}
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2026-03-12 12:53:59] debug: 	zh:zstack:znp: --> SREQ: SYS - osalNvReadExt - {"id":58,"offset":0}
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:writer: --> frame [254,4,33,28,58,0,0,0,3]
