[2026-03-12 13:05:52] debug: 	z2m: Removing old log directory '/config/zigbee2mqtt/log/2026-03-11.21-50-26'
[2026-03-12 13:05:52] info: 	z2m: Logging to console, file (filename: log.log)
[2026-03-12 13:05:52] debug: 	z2m: Loaded state from file /config/zigbee2mqtt/state.json
[2026-03-12 13:05:52] info: 	z2m: Starting Zigbee2MQTT version 2.9.1 (commit #unknown)
[2026-03-12 13:05:52] info: 	z2m: Starting zigbee-herdsman (9.0.9)
[2026-03-12 13:05:52] debug: 	z2m: Using zigbee-herdsman with settings: '"{\"network\":{\"panID\":14505,\"extendedPanID\":[29,210,64,211,69,80,126,215],\"channelList\":[25],\"networkKey\":\"HIDDEN\"},\"databasePath\":\"/config/zigbee2mqtt/database.db\",\"databaseBackupPath\":\"/config/zigbee2mqtt/database.db.backup\",\"backupPath\":\"/config/zigbee2mqtt/coordinator_backup.json\",\"serialPort\":{\"baudRate\":115200,\"rtscts\":false,\"path\":\"/dev/serial/by-id/usb-Silicon_Labs_Sonoff_Zigbee_3.0_USB_Dongle_Plus_0001-if00-port0\",\"adapter\":\"zstack\"},\"adapter\":{\"disableLED\":false}}"'
[2026-03-12 13:05:53] debug: 	zh:adapter:discovery: Connected devices: [{"path":"/dev/ttyUSB0","manufacturer":"Silicon Labs","serialNumber":"0001","pnpId":"usb-Silicon_Labs_Sonoff_Zigbee_3.0_USB_Dongle_Plus_0001-if00-port0","vendorId":"10c4","productId":"ea60"}]
[2026-03-12 13:05:53] debug: 	zh:adapter:discovery: Unable to match USB adapter: zstack | /dev/serial/by-id/usb-Silicon_Labs_Sonoff_Zigbee_3.0_USB_Dongle_Plus_0001-if00-port0
[2026-03-12 13:05:53] debug: 	zh:controller: Starting with options '{"network":{"networkKeyDistribute":false,"networkKey":"HIDDEN","extendedPanID":[29,210,64,211,69,80,126,215],"panID":14505,"channelList":[25]},"serialPort":{"baudRate":115200,"rtscts":false,"path":"/dev/serial/by-id/usb-Silicon_Labs_Sonoff_Zigbee_3.0_USB_Dongle_Plus_0001-if00-port0","adapter":"zstack"},"adapter":{"disableLED":false},"databasePath":"/config/zigbee2mqtt/database.db","databaseBackupPath":"/config/zigbee2mqtt/database.db.backup","backupPath":"/config/zigbee2mqtt/coordinator_backup.json"}'
[2026-03-12 13:05:53] info: 	zh:zstack:znp: Opening SerialPort with {"path":"/dev/serial/by-id/usb-Silicon_Labs_Sonoff_Zigbee_3.0_USB_Dongle_Plus_0001-if00-port0","baudRate":115200,"rtscts":false,"autoOpen":false}
[2026-03-12 13:05:53] info: 	zh:zstack:znp: Serialport opened
[2026-03-12 13:05:53] debug: 	zh:zstack:znp: --> SREQ: SYS - ping - {"capabilities":1}
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:writer: --> frame [254,0,33,1,32]
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: <-- [254,2,97,1,89,6,61]
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: --- parseNext [254,2,97,1,89,6,61]
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: --> parsed 2 - 3 - 1 - 1 - [89,6] - 61
[2026-03-12 13:05:53] debug: 	zh:zstack:znp: <-- SRSP: SYS - ping - {"capabilities":1625}
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2026-03-12 13:05:53] debug: 	zh:zstack:znp: --> SREQ: SYS - ping - {"capabilities":1}
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:writer: --> frame [254,0,33,1,32]
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: <-- [254,2,97,1,89,6,61]
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: --- parseNext [254,2,97,1,89,6,61]
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: --> parsed 2 - 3 - 1 - 1 - [89,6] - 61
[2026-03-12 13:05:53] debug: 	zh:zstack:znp: <-- SRSP: SYS - ping - {"capabilities":1625}
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2026-03-12 13:05:53] debug: 	zh:zstack:znp: --> SREQ: SYS - version - {}
